SPCODE,taxa,genus,species,variety,tolerance,native,family,hydrophyte,form,habit,group,shade,clemet.tier,odnr.class,ohio.noxious,clemet.priority
ELAANG,Elaeagnus_angustifolia,Elaeagnus,angustifolia,NA,tolerant,adventive,Elaeagnaceae,upland,sm.tree,W,DI,advent,NA,established,FALSE,FALSE
ELAUMB,Elaeagnus_umbellata,Elaeagnus,umbellata,NA,tolerant,adventive,Elaeagnaceae,upland,sm.tree,W,DI,advent,2,targeted,FALSE,FALSE
ELYHYS,Elymus_hystrix,Elymus,hystrix,NA,midrange,native,Poaceae,upland,grass,PE,MO,shade,NA,NA,NA,NA
ELYRIP,Elymus_riparius,Elymus,riparius,NA,midrange,native,Poaceae,hydrophyte,grass,PE,MO,partial,NA,NA,NA,NA
ELYVIL,Elymus_villosus,Elymus,villosus,NA,midrange,native,Poaceae,upland,grass,PE,MO,partial,NA,NA,NA,NA
ELYVIR,Elymus_virginicus,Elymus,virginicus,NA,midrange,native,Poaceae,hydrophyte,grass,PE,MO,partial,NA,NA,NA,NA
EPIVIR,Epifagus_virginiana,Epifagus,virginiana,NA,sensitive,native,Orobanchaceae,upland,forb,AN,DI,shade,NA,NA,NA,NA
EPICIL,Epilobium_ciliatum,Epilobium,ciliatum,NA,midrange,native,Onagraceae,FAC,forb,PE,DI,full,NA,NA,NA,NA
EPICOL,Epilobium_coloratum,Epilobium,coloratum,NA,tolerant,native,Onagraceae,hydrophyte,forb,PE,DI,full,NA,NA,NA,NA
EPIPAR,Epilobium_parviflorum,Epilobium,parviflorum,NA,tolerant,adventive,Onagraceae,advent,forb,PE,DI,advent,NA,established,FALSE,FALSE
EPIHEL,Epipactis_helleborine,Epipactis,helleborine,NA,tolerant,adventive,Equisetaceae,upland,forb,PE,DI,advent,NA,NA,FALSE,FALSE
EQUARV,Equisetum_arvense,Equisetum,arvense,NA,tolerant,native,Equisetaceae,FAC,fern,PE,SVP,full,NA,NA,NA,NA
EQUHYE,Equisetum_hyemale,Equisetum,hyemale,NA,tolerant,native,Equisetaceae,hydrophyte,fern,PE,SVP,full,NA,NA,NA,NA
EREHIE,Erechtites_hieracifolia,Erechtites,hieracifolia,NA,tolerant,native,Asteraceae,upland,forb,AN,DI,full,NA,NA,NA,NA
